# feature;class;assembly;assembly_unit;seq_type;chromosome;genomic_accession;start;end;strand;product_accession;non-redundant_refseq;related_accession;name;symbol;GeneID;locus_tag;feature_interval_length;product_length;attributes
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;1;1374;+;;;;;dnaA;;B1217_0001;1374;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;1;1374;+;ASJ88910.1;;;chromosomal replication initiator protein DnaA;dnaA;;B1217_0001;1374;457;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;1577;2710;+;;;;;dnaN;;B1217_0002;1134;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;1577;2710;+;ASJ88911.1;;;DNA polymerase III subunit beta;dnaN;;B1217_0002;1134;377;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;2725;6105;+;;;;;;;B1217_0003;3381;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;2725;6105;+;ASJ88912.1;;;putative DNA helicase;;;B1217_0003;3381;1126;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;6115;7218;+;;;;;ychF;;B1217_0004;1104;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;6115;7218;+;ASJ88913.1;;;ribosome-binding ATPase YchF;ychF;;B1217_0004;1104;367;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;7221;7769;-;;;;;;;B1217_0005;549;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;7221;7769;-;ASJ88914.1;;;histidine phosphatase superfamily protein;;;B1217_0005;549;182;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;7914;9695;+;;;;;;;B1217_0006;1782;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;7914;9695;+;ASJ88915.1;;;glycosyltransferase family 2 protein;;;B1217_0006;1782;593;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;9688;10713;+;;;;;;;B1217_0007;1026;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;9688;10713;+;ASJ88916.1;;;aminoglycoside phosphotransferase;;;B1217_0007;1026;341;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;10704;11423;+;;;;;;;B1217_0008;720;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;10704;11423;+;ASJ88917.1;;;glycosyltransferase family 2 (BcbE-like) protein;;;B1217_0008;720;239;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;11469;12086;+;;;;;tdk;;B1217_0009;618;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;11469;12086;+;ASJ88918.1;;;thymidine kinase;tdk;;B1217_0009;618;205;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;12038;12526;+;;;;;;;B1217_0010;489;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;12038;12526;+;ASJ88919.1;;;hypothetical protein;;;B1217_0010;489;162;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;12887;13153;+;;;;;;;B1217_0011;267;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;12887;13153;+;ASJ88920.1;;;hypothetical protein;;;B1217_0011;267;88;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;13236;14222;-;;;;;pta;;B1217_0012;987;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;13236;14222;-;ASJ88921.1;;;phosphate acetyltransferase;pta;;B1217_0012;987;328;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;14286;14729;+;;;;;coaD;;B1217_0013;444;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;14286;14729;+;ASJ88922.1;;;phosphopantetheine adenylyltransferase;coaD;;B1217_0013;444;147;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;14732;15478;+;;;;;coaX;;B1217_0014;747;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;14732;15478;+;ASJ88923.1;;;type III pantothenate kinase;coaX;;B1217_0014;747;248;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;15535;16149;-;;;;;rpsD;;B1217_0015;615;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;15535;16149;-;ASJ88924.1;;;30S ribosomal protein S4;rpsD;;B1217_0015;615;204;
gene;protein_coding;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;16382;18070;-;;;;;;;B1217_0016;1689;;
CDS;with_protein;GCA_002215425.1;Primary Assembly;chromosome;;CP020122.1;16382;18070;-;ASJ88925.1;;;putative surface protein bspA-like;;;B1217_0016;1689;562;
