# feature;class;assembly;assembly_unit;seq_type;chromosome;genomic_accession;start;end;strand;product_accession;non-redundant_refseq;related_accession;name;symbol;GeneID;locus_tag;feature_interval_length;product_length;attributes
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;686;1828;+;;;;;;;CM1_00005;1143;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;686;1828;+;AFQ03795.1;;;DNA polymerase III subunit beta;;;CM1_00005;1143;380;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;1828;2760;+;;;;;;;CM1_00010;933;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;1828;2760;+;AFQ03796.1;;;DnaJ domain-containing protein;;;CM1_00010;933;310;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;2845;4797;+;;;;;gyrB;;CM1_00015;1953;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;2845;4797;+;AFQ03797.1;;;DNA gyrase subunit B;gyrB;;CM1_00015;1953;650;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;4812;7322;+;;;;;;;CM1_00020;2511;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;4812;7322;+;AFQ03798.1;;;DNA gyrase subunit A;;;CM1_00020;2511;836;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;7294;8547;+;;;;;;;CM1_00025;1254;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;7294;8547;+;AFQ03799.1;;;seryl-tRNA ligase;;;CM1_00025;1254;417;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;8551;9183;+;;;;;;;CM1_00030;633;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;8551;9183;+;AFQ03800.1;;;thymidylate kinase;;;CM1_00030;633;210;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;9156;9920;+;;;;;;;CM1_00035;765;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;9156;9920;+;AFQ03801.1;;;DNA polymerase III subunit delta';;;CM1_00035;765;254;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;9923;11251;+;;;;;trmE;;CM1_00040;1329;;
