# feature;class;assembly;assembly_unit;seq_type;chromosome;genomic_accession;start;end;strand;product_accession;non-redundant_refseq;related_accession;name;symbol;GeneID;locus_tag;feature_interval_length;product_length;attributes
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;39;1493;+;;;;;;;GE118_00005;1455;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;39;1493;+;QGZ97185.1;;;chromosomal replication initiator protein DnaA;;;GE118_00005;1455;484;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;1636;2751;+;;;;;dnaN;;GE118_00010;1116;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;1636;2751;+;QGZ97186.1;;;DNA polymerase III subunit beta;dnaN;;GE118_00010;1116;371;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;2760;2987;+;;;;;;;GE118_00015;228;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;2760;2987;+;QGZ97187.1;;;RNA-binding protein;;;GE118_00015;228;75;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;3004;3705;-;;;;;;;GE118_00020;702;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;3004;3705;-;QGZ97188.1;;;hypothetical protein;;;GE118_00020;702;233;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;3693;4307;-;;;;;;;GE118_00025;615;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;3693;4307;-;QGZ97189.1;;;ribonuclease HII;;;GE118_00025;615;204;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;4352;4870;+;;;;;;;GE118_00030;519;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;4352;4870;+;QGZ97190.1;;;hypothetical protein;;;GE118_00030;519;172;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;4899;5579;-;;;;;;;GE118_00035;681;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;4899;5579;-;QGZ97191.1;;;ribonuclease HIII;;;GE118_00035;681;226;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;5581;6513;-;;;;;;;GE118_00040;933;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;5581;6513;-;QGZ97192.1;;;Cof-type HAD-IIB family hydrolase;;;GE118_00040;933;310;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;6699;7418;+;;;;;;;GE118_00045;720;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;6699;7418;+;QGZ97193.1;;;UMP kinase;;;GE118_00045;720;239;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;7418;7969;+;;;;;;;GE118_00050;552;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;7418;7969;+;QGZ97194.1;;;ribosome recycling factor;;;GE118_00050;552;183;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;8667;10325;+;;;;;;;GE118_00055;1659;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;8667;10325;+;QGZ97195.1;;;IS1634 family transposase;;;GE118_00055;1659;552;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;10462;10692;+;;;;;;;GE118_00060;231;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;10462;10692;+;QGZ97196.1;;;hypothetical protein;;;GE118_00060;231;76;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;10904;12217;+;;;;;;;GE118_00065;1314;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;10904;12217;+;QGZ97197.1;;;hypothetical protein;;;GE118_00065;1314;437;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;12217;12789;+;;;;;;;GE118_00070;573;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;12217;12789;+;QGZ97198.1;;;hypothetical protein;;;GE118_00070;573;190;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;12897;15041;+;;;;;;;GE118_00075;2145;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;12897;15041;+;QGZ97199.1;;;hypothetical protein;;;GE118_00075;2145;714;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;15093;16466;-;;;;;;;GE118_00080;1374;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;15093;16466;-;QGZ97200.1;;;leucyl aminopeptidase family protein;;;GE118_00080;1374;457;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;16573;18522;-;;;;;;;GE118_00085;1950;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;16573;18522;-;QGZ97201.1;;;hypothetical protein;;;GE118_00085;1950;649;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;18614;21562;+;;;;;dnaE;;GE118_00090;2949;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;18614;21562;+;QGZ97202.1;;;DNA polymerase III subunit alpha;dnaE;;GE118_00090;2949;982;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;21549;22430;+;;;;;;;GE118_00095;882;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;21549;22430;+;QGZ97203.1;;;DNA polymerase I;;;GE118_00095;882;293;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;22647;23621;+;;;;;;;GE118_00100;975;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;22647;23621;+;QGZ97204.1;;;hypothetical protein;;;GE118_00100;975;324;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;23633;24505;+;;;;;;;GE118_00105;873;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;23633;24505;+;QGZ97205.1;;;hypothetical protein;;;GE118_00105;873;290;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;24496;25335;+;;;;;fmt;;GE118_00110;840;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;24496;25335;+;QGZ97206.1;;;methionyl-tRNA formyltransferase;fmt;;GE118_00110;840;279;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;25482;26477;+;;;;;gap;;GE118_00115;996;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;25482;26477;+;QGZ97207.1;;;type I glyceraldehyde-3-phosphate dehydrogenase;gap;;GE118_00115;996;331;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;26570;29650;+;;;;;;;GE118_00120;3081;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;26570;29650;+;QGZ97208.1;;;hypothetical protein;;;GE118_00120;3081;1026;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;29652;31715;+;;;;;;;GE118_00125;2064;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;29652;31715;+;QGZ97209.1;;;hypothetical protein;;;GE118_00125;2064;687;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;31751;32356;+;;;;;;;GE118_00130;606;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;31751;32356;+;QGZ97210.1;;;chromate transporter;;;GE118_00130;606;201;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;32356;33081;+;;;;;;;GE118_00135;726;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;32356;33081;+;QGZ97211.1;;;chromate transporter;;;GE118_00135;726;241;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;33110;34966;-;;;;;topA;;GE118_00140;1857;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;33110;34966;-;QGZ97212.1;;;type I DNA topoisomerase;topA;;GE118_00140;1857;618;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;35212;35613;+;;;;;rpsF;;GE118_00145;402;;
